Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第5節,モンテディオ山形,ザスパクサツ群馬,2,3,1,0,2020.7.15 19:00 Kick Off,雨,全面良芝,"1,355人",19.9℃,51.2%,58.0%,49.5%,54.7%,61.8%,58.6%,16.47,13.67,2.77,0.03,6.00,5.82,62.14,15.93,0.17,1.32,8,(25.0%),3,0,539,(78.3%),20,(25.0%),11,1,4,23,(87.0%),2,(50.0%),16,(50.0%),37,1,4,1,0,33,10,122,6.6%,55.2%
第6節,アルビレックス新潟,モンテディオ山形,1,1,0,1,2020.7.19 18:00 Kick Off,晴,全面良芝,"3,766人",25.3℃,42.2%,38.6%,38.9%,29.9%,49.0%,41.6%,10.40,7.50,1.56,1.34,6.12,3.17,51.14,14.30,0.79,1.129,12,(8.3%),3,0,319,(67.4%),13,(23.1%),13,2,8,25,(92.0%),7,(71.4%),11,(45.5%),29,2,2,1,0,29,9,110,10.9%,40.2%
第7節,東京ヴェルディ,モンテディオ山形,0,0,0,1,2020.7.25 18:00 Kick Off,曇,全面良芝,"2,072人",24.6℃,27.3%,20.6%,33.9%,30.2%,41.6%,36.6%,9.62,7.63,1.13,0.86,8.02,0.00,71.63,14.00,0.14,0.938,13,(0.0%),5,0,309,(70.9%),14,(14.3%),7,3,8,17,(94.1%),4,(50.0%),20,(60.0%),19,2,1,1,0,30,5,101,12.9%,31%
第8節,モンテディオ山形,ジェフユナイテッド千葉,0,0,1,1,2020.7.29 19:00 Kick Off,曇,全面良芝,"1,516人",22℃,31.8%,51.3%,53.7%,59.7%,60.3%,55.5%,16.26,14.10,1.62,0.54,4.76,0.00,77.85,18.89,0.56,1.321,13,(0.0%),2,0,543,(80.3%),8,(37.5%),8,1,5,27,(88.9%),7,(42.9%),18,(61.1%),23,1,2,1,0,39,10,108,12.0%,51.6%
第9節,徳島ヴォルティス,モンテディオ山形,1,0,0,0,2020.8.2 19:00 Kick Off,晴,全面良芝,"1,949人",27.6℃,21.7%,54.1%,22.7%,41.5%,42.7%,47.3%,12.98,11.12,1.19,0.67,6.94,0.00,52.21,11.13,0.25,0.868,12,(0.0%),3,0,348,(78.7%),12,(16.7%),9,4,3,14,(92.9%),7,(42.9%),10,(60.0%),19,2,0,3,0,33,9,87,13.8%,36.3%
第10節,モンテディオ山形,京都サンガF.C.,3,4,1,0,2020.8.8 19:00 Kick Off,雨,全面良芝,"2,865人",23.4℃,47.2%,46.3%,52.2%,56.0%,55.0%,55.1%,23.40,19.95,2.13,1.31,6.06,8.79,83.95,13.27,0.00,2.175,15,(20.0%),5,1,568,(84.7%),20,(20.0%),10,1,7,16,(100.0%),7,(71.4%),24,(75.0%),21,3,1,0,0,62,17,108,13.9%,52%
第11節,愛媛ＦＣ,モンテディオ山形,0,1,0,3,2020.8.12 19:00 Kick Off,晴,全面良芝,"1,227人",28.5℃,32.0%,40.3%,42.2%,39.9%,40.7%,33.5%,12.07,10.86,0.47,0.74,4.49,3.48,61.10,17.93,0.07,0.424,7,(14.3%),3,0,415,(81.7%),9,(11.1%),12,4,4,14,(92.9%),6,(33.3%),9,(77.8%),31,3,1,1,0,25,10,98,7.1%,37.9%
第12節,モンテディオ山形,Ｖ・ファーレン長崎,1,0,1,3,2020.8.16 18:00 Kick Off,晴,全面良芝,"3,725人",29.7℃,48.4%,45.2%,54.2%,58.6%,23.2%,37.9%,19.04,13.82,3.85,1.38,8.64,2.65,64.03,15.51,0.26,1.535,12,(8.3%),5,0,446,(81.2%),19,(36.8%),5,2,8,15,(93.3%),13,(38.5%),13,(69.2%),18,1,0,0,0,54,16,104,11.5%,44.4%
第13節,ツエーゲン金沢,モンテディオ山形,1,1,0,1,2020.8.19 19:00 Kick Off,晴,全面良芝,"1,238人",30℃,57.0%,52.5%,49.9%,54.8%,63.8%,65.9%,15.89,14.17,0.46,1.26,8.74,5.88,55.93,13.95,0.04,0.961,11,(9.1%),3,0,526,(79.8%),16,(6.3%),9,2,11,25,(76.0%),12,(58.3%),9,(66.7%),20,0,1,0,0,44,9,110,10.0%,57.3%
第14節,モンテディオ山形,ヴァンフォーレ甲府,3,1,1,3,2020.8.23 18:00 Kick Off,晴,全面良芝,"3,567人",29.7℃,62.8%,52.3%,54.9%,51.8%,51.9%,50.1%,17.83,13.73,3.20,0.90,8.74,5.49,70.68,12.68,0.04,1.996,14,(21.4%),7,0,495,(80.0%),15,(40.0%),8,5,6,21,(90.5%),12,(33.3%),13,(69.2%),24,1,3,0,0,36,13,113,12.4%,54%
第15節,ＦＣ琉球,モンテディオ山形,1,4,0,3,2020.8.29 19:00 Kick Off,晴,全面良芝,0人,30.1℃,33.3%,48.9%,45.5%,42.8%,45.2%,33.6%,13.89,10.62,3.08,0.19,12.33,8.67,60.62,17.35,0.82,1.556,14,(21.4%),10,0,404,(81.4%),10,(60.0%),12,1,4,23,(82.6%),5,(40.0%),13,(61.5%),27,1,2,0,0,27,14,104,13.5%,41.2%
第16節,モンテディオ山形,レノファ山口ＦＣ,0,0,1,1,2020.9.2 19:00 Kick Off,曇,良芝,"2,294人",28.6℃,58.5%,66.7%,47.4%,50.3%,60.6%,47.7%,17.83,14.84,1.96,1.03,5.81,0.00,104.70,10.60,0.00,1.211,11,(0.0%),3,0,518,(75.1%),20,(20.0%),14,1,4,27,(85.2%),8,(62.5%),11,(81.8%),18,0,1,0,0,47,17,131,8.4%,55.2%
