Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control
第11節,水戸ホーリーホック,アルビレックス新潟,0,0,1,1,2019.4.28 14:00 Kick Off,晴,全面良芝,"9,023人",15.8℃,49.1%,61.6%,39.4%,44.9%,42.3%,43.9%,13.25,11.44,1.03,0.78,8.68,0.00,93.60,20.41,0.39,1.303,13,(0.0%),3,0,415,(69.9%),7,(28.6%),17,1,6,23,(91.3%),17,(29.4%),19,(73.7%),21,2,1,1,0,31,9,136,9.6%,47%
第12節,ＦＣ町田ゼルビア,水戸ホーリーホック,0,2,0,3,2019.5.5 15:00 Kick Off,晴,全面良芝,"5,506人",22.3℃,51.1%,50.1%,64.1%,48.7%,57.1%,45.3%,11.93,9.34,1.47,1.12,5.72,7.60,88.45,17.22,0.17,0.943,14,(14.3%),3,0,362,(59.1%),17,(17.6%),12,0,8,37,(86.5%),15,(33.3%),26,(73.1%),32,4,3,1,0,36,13,152,9.2%,52.7%
第13節,ＦＣ琉球,水戸ホーリーホック,1,0,0,0,2019.5.11 18:00 Kick Off,晴,全面良芝,"3,908人",25.6℃,33.1%,39.6%,52.5%,60.6%,51.0%,63.9%,16.98,13.95,1.70,1.33,11.31,0.00,81.98,10.72,0.46,0.928,14,(0.0%),5,0,478,(73.4%),11,(27.3%),15,0,4,31,(96.8%),12,(50.0%),17,(52.9%),16,5,2,2,0,38,12,127,11.0%,50.9%
第14節,水戸ホーリーホック,柏レイソル,0,0,1,1,2019.5.19 14:00 Kick Off,晴時々曇,全面良芝,"8,829人",24℃,34.7%,48.5%,49.2%,50.1%,28.5%,47.6%,8.65,7.57,1.00,0.08,2.54,0.00,84.10,24.54,0.74,0.787,7,(0.0%),1,0,367,(65.9%),5,(40.0%),14,1,3,26,(50.0%),8,(12.5%),20,(50.0%),31,3,2,2,0,26,5,134,5.2%,43.9%
第15節,愛媛ＦＣ,水戸ホーリーホック,0,1,0,3,2019.5.25 17:00 Kick Off,晴,全面良芝,"2,820人",26.9℃,38.3%,47.3%,34.0%,34.8%,45.2%,44.0%,14.35,11.70,1.14,1.50,7.58,3.51,93.63,13.31,0.00,1.082,16,(6.3%),5,0,372,(71.8%),15,(13.3%),6,2,3,19,(57.9%),12,(41.7%),20,(80.0%),25,4,2,1,0,28,13,117,13.7%,40.9%
第16節,水戸ホーリーホック,レノファ山口ＦＣ,0,1,1,0,2019.6.1 16:00 Kick Off,曇,全面良芝,"4,460人",22.4℃,42.3%,44.9%,48.2%,41.8%,46.4%,64.1%,10.97,9.61,1.02,0.35,5.12,0.00,55.91,22.36,0.36,0.627,7,(0.0%),2,0,415,(71.1%),6,(33.3%),16,2,3,34,(88.2%),8,(37.5%),17,(47.1%),33,1,1,2,0,30,7,133,5.3%,47.7%
第17節,水戸ホーリーホック,アビスパ福岡,4,2,1,3,2019.6.9 14:00 Kick Off,曇時々晴,全面良芝,"5,074人",20.4℃,45.1%,45.0%,51.5%,60.5%,67.8%,45.6%,18.83,15.00,2.23,1.60,10.48,13.77,112.58,16.01,0.64,1.744,18,(22.2%),6,0,469,(74.2%),17,(23.5%),12,1,7,16,(93.8%),12,(50.0%),17,(70.6%),25,0,1,2,0,46,18,129,14.0%,53.4%
第18節,モンテディオ山形,水戸ホーリーホック,1,0,0,0,2019.6.15 19:00 Kick Off,雨,良芝,"6,887人",19℃,49.7%,55.1%,47.6%,48.9%,57.6%,66.4%,16.98,13.16,2.07,1.76,6.12,0.00,93.19,12.65,0.63,1.358,19,(0.0%),3,0,404,(71.0%),18,(22.2%),14,3,8,24,(75.0%),11,(63.6%),25,(72.0%),24,3,1,1,0,39,12,132,14.4%,54.8%
第19節,水戸ホーリーホック,横浜ＦＣ,1,1,1,1,2019.6.22 18:00 Kick Off,曇時々雨,全面良芝,"4,974人",22.1℃,54.6%,57.9%,49.0%,41.9%,59.8%,66.9%,29.31,24.19,2.32,2.79,16.73,2.71,93.00,11.73,0.05,1.612,27,(3.7%),8,0,571,(76.9%),25,(16.0%),9,0,9,34,(91.2%),14,(64.3%),21,(85.7%),18,3,0,1,0,74,21,135,20.0%,56.4%
第20節,京都サンガF.C.,水戸ホーリーホック,2,2,0,1,2019.6.29 19:00 Kick Off,曇,全面良芝,"4,346人",28.3℃,30.3%,23.8%,22.4%,26.9%,13.7%,32.7%,7.54,6.15,0.56,0.82,6.33,5.35,85.12,19.42,0.37,1.427,13,(15.4%),4,0,237,(66.7%),7,(14.3%),7,1,2,14,(85.7%),10,(50.0%),24,(62.5%),29,4,1,1,1,21,7,103,12.6%,25.6%
第21節,ツエーゲン金沢,水戸ホーリーホック,2,2,0,1,2019.7.7 19:00 Kick Off,曇,良芝,"3,797人",25℃,55.1%,58.7%,54.5%,57.7%,54.4%,47.5%,17.73,14.40,1.21,2.13,11.01,10.18,88.85,15.95,0.17,1.266,17,(11.8%),6,0,505,(74.1%),19,(10.5%),13,2,7,24,(91.7%),19,(52.6%),16,(68.8%),23,1,3,1,0,41,19,142,12.0%,54%
第22節,水戸ホーリーホック,Ｖ・ファーレン長崎,2,1,1,3,2019.7.13 18:00 Kick Off,曇時々雨,全面良芝,"4,951人",24.3℃,46.2%,46.4%,37.6%,53.2%,49.8%,39.7%,14.51,10.51,3.54,0.45,14.07,7.66,107.38,16.55,0.23,1.258,16,(12.5%),8,0,369,(63.4%),11,(63.6%),14,0,5,34,(76.5%),9,(22.2%),28,(75.0%),31,3,1,1,0,35,16,139,11.5%,45.5%
第23節,水戸ホーリーホック,ＦＣ琉球,3,1,1,3,2019.7.21 18:00 Kick Off,曇,全面良芝,"4,432人",22.9℃,38.5%,40.7%,44.1%,29.6%,49.5%,41.9%,9.64,7.90,0.49,1.25,13.03,7.13,92.92,12.97,0.41,1.582,15,(20.0%),8,0,303,(65.3%),10,(10.0%),10,0,8,22,(68.2%),13,(30.8%),19,(63.2%),25,1,3,0,0,23,10,127,11.8%,40.5%
第24節,アビスパ福岡,水戸ホーリーホック,1,1,0,1,2019.7.27 19:00 Kick Off,晴,全面良芝,"6,045人",30.3℃,43.9%,46.8%,51.9%,53.3%,60.6%,56.0%,14.35,12.42,1.00,0.92,5.47,3.31,69.12,15.01,0.81,0.876,13,(7.7%),4,0,526,(73.6%),13,(15.4%),11,1,2,26,(96.2%),6,(83.3%),9,(77.8%),25,0,4,0,0,38,9,125,10.4%,52.4%
第25節,水戸ホーリーホック,ヴァンフォーレ甲府,1,1,1,1,2019.7.31 19:00 Kick Off,晴,全面良芝,"4,839人",29.5℃,51.1%,48.3%,46.1%,46.1%,48.1%,43.7%,14.15,11.16,2.20,0.79,6.05,2.62,83.57,14.69,0.21,1.302,15,(6.7%),3,0,371,(73.6%),14,(28.6%),11,0,3,18,(66.7%),8,(50.0%),22,(54.5%),17,3,3,0,0,36,11,121,12.4%,47.1%
第26節,レノファ山口ＦＣ,水戸ホーリーホック,1,0,0,0,2019.8.4 19:00 Kick Off,晴,全面良芝,"5,012人",29.1℃,39.0%,49.3%,40.2%,66.7%,57.9%,53.4%,17.89,15.32,1.72,0.85,3.46,0.00,67.67,10.43,0.49,0.781,9,(0.0%),0,0,517,(79.5%),16,(18.8%),7,1,4,35,(77.1%),14,(28.6%),16,(75.0%),18,2,1,3,1,42,12,119,7.6%,50.4%
