Round,Hteam,Ateam,Hscore,Ascore,HorA,WorL,Date,Wether,Grass_condition,Spectators,temperature,TimeLine1,TimeLine2,TimeLine3,TimeLine4,TimeLine5,TimeLine6,Attack_CBP,Pass_CBP,Cross_CBP,Dribble_CBP,Shots_CBP,Score_CBP,Seizure,Diffence,Save_CBP,Expect_Goal,Shots,Shots_Success,On_Target,PK,Pass,Pass_Success,Cross,Cross_Success,D_FK,I_FK,CK,Throwing,Throwing_Success,Dribble,Dribble_Success,Tackle,Tackle_Success,Clear,Intercept,OffSide,Yellow,Red,Approach_30m,Approach_Penalty,Attack_Num,Chances,Control,AGI,KAGI
59,ベガルタ仙台,サンフレッチェ広島,0,0,1,1,2020.10.31 13:00 Kick Off,晴,全面良芝,"4,001人",16.5℃,34.1%,32.4%,35.8%,33.9%,46.6%,60.8%,8.00,5.51,2.00,0.49,1.40,0.00,96.81,17.08,1.04,0.948,8,(0.0%),1,0,352,(66.5%),16,(25.0%),14,2,3,27,(77.8%),8,(50.0%),18,(66.7%),15,1,1,2,0,24,7,129,6.2%,41.3%,45,40
60,ベガルタ仙台,サガン鳥栖,0,3,1,0,2020.11.8 13:00 Kick Off,晴,全面良芝,"5,995人",19.3℃,35.9%,55.9%,34.7%,29.9%,48.0%,37.6%,8.42,6.93,0.48,1.01,0.00,0.00,82.61,14.05,0.35,0.16,5,(0.0%),0,0,424,(73.6%),16,(6.3%),9,5,4,26,(96.2%),11,(54.5%),20,(60.0%),16,0,2,3,0,22,0,117,4.3%,40.3%,53,50
61,ガンバ大阪,ベガルタ仙台,0,4,0,3,2020.11.14 15:00 Kick Off,晴,全面良芝,"11,567人",17.3℃,45.2%,42.8%,28.2%,42.6%,46.7%,33.7%,12.22,9.40,1.54,1.28,12.15,10.73,78.33,22.39,0.24,1.689,16,(25.0%),7,0,321,(74.8%),12,(25.0%),9,4,6,22,(90.9%),8,(62.5%),14,(57.1%),45,2,3,0,0,28,11,113,14.2%,38.8%,56,42
62,ベガルタ仙台,ＦＣ東京,2,2,1,1,2020.11.18 19:00 Kick Off,曇,全面良芝,"3,030人",13.4℃,41.3%,45.3%,49.1%,38.3%,67.7%,69.1%,17.29,13.21,3.71,0.37,7.59,8.32,88.73,12.46,0.45,1.255,10,(20.0%),5,0,587,(80.6%),23,(30.4%),8,2,2,22,(95.5%),12,(25.0%),24,(62.5%),16,2,2,4,0,62,9,116,8.6%,53.3%,54,48
63,ベガルタ仙台,鹿島アントラーズ,1,3,1,0,2020.11.21 15:00 Kick Off,晴,全面良芝,"7,487人",12.6℃,35.6%,47.2%,33.1%,44.3%,54.0%,65.6%,12.85,8.65,3.00,1.20,6.47,2.57,89.32,17.39,0.78,1.029,8,(12.5%),4,0,449,(75.5%),26,(23.1%),14,5,0,27,(92.6%),16,(62.5%),14,(71.4%),15,1,5,0,0,42,6,127,6.3%,46.3%,50,41
64,サガン鳥栖,ベガルタ仙台,0,1,0,3,2020.11.25 19:30 Kick Off,晴,全面良芝,"3,694人",15.1℃,33.8%,32.9%,36.9%,44.1%,45.6%,29.1%,12.21,7.86,3.81,0.54,4.77,2.57,80.86,23.26,0.83,1.741,15,(6.7%),2,0,388,(74.0%),16,(43.8%),6,4,2,20,(90.0%),9,(55.6%),16,(56.3%),37,0,2,1,0,24,9,113,13.3%,37%,47,42
65,ベガルタ仙台,柏レイソル,0,2,1,0,2020.12.1 19:00 Kick Off,晴,全面良芝,"2,720人",7.4℃,46.6%,49.4%,51.8%,38.1%,57.5%,45.2%,17.48,14.43,2.05,0.99,1.83,0.00,110.31,13.74,0.27,1.137,8,(0.0%),1,0,570,(77.0%),27,(14.8%),13,1,5,17,(94.1%),12,(58.3%),11,(81.8%),12,1,0,0,0,53,12,118,6.8%,48.4%,55,50
66,大分トリニータ,ベガルタ仙台,0,2,0,3,2020.12.6 14:00 Kick Off,晴,全面良芝,"6,289人",13.5℃,27.3%,24.3%,37.7%,25.7%,25.2%,32.4%,7.37,5.05,1.09,1.23,7.38,5.42,81.78,20.59,0.03,0.982,12,(16.7%),4,0,254,(65.4%),6,(33.3%),11,1,2,16,(81.3%),5,(80.0%),18,(61.1%),31,3,2,0,0,18,5,103,11.7%,29.3%,51,49
67,清水エスパルス,ベガルタ仙台,2,3,0,3,2020.12.16 19:00 Kick Off,晴,全面良芝,"5,023人",4.3℃,36.6%,37.9%,42.5%,33.4%,41.4%,34.4%,10.12,9.04,0.50,0.59,8.15,12.70,117.88,12.51,0.18,0.53,8,(37.5%),5,0,368,(68.8%),13,(7.7%),11,2,6,30,(70.0%),10,(20.0%),12,(66.7%),19,2,1,4,0,35,7,135,5.9%,37.5%,57,71
68,ベガルタ仙台,湘南ベルマーレ,0,0,1,1,2020.12.19 14:00 Kick Off,雪のち曇,全面良芝,"7,356人",3.4℃,51.1%,47.5%,59.0%,45.4%,66.1%,53.4%,12.97,9.34,3.22,0.41,6.64,0.00,75.73,19.91,0.29,0.858,10,(0.0%),5,0,488,(78.5%),22,(27.3%),21,3,1,17,(100.0%),7,(57.1%),9,(77.8%),32,2,2,2,0,30,10,110,9.1%,53.9%,52,38
